634.64484 627.44476 634.63947 607.4008
695.3086 625.741 694.17755 605.729
751.87067 620.81683 749.5249 600.9106
804.3278 612.89124 800.6851 593.1811
852.683 602.18146 847.6576 582.77765
896.9367 588.9024 890.4419 569.9398
937.0891 573.26654 929.04016 554.90967
973.1371 555.4833 963.4565 537.93207
1005.07324 535.75946 993.6997 519.25476
1032.8833 514.2998 1019.7853 499.1275
1056.5444 491.30923 1041.737 477.79977
1076.0222 466.9969 1059.5914 455.51688
1091.2705 441.5826 1073.3956 432.51337
1102.2339 415.30518 1083.2057 409.0051
1108.8577 388.4286 1089.0782 385.1823
1111.1005 361.24255 1091.0564 361.2099
1108.9463 334.0536 1089.1566 337.23563
1102.412 307.1683 1083.3638 313.4076
1091.5398 280.87677 1073.6367 289.89008
1076.3864 255.44318 1059.9208 266.87326
1057.0073 231.10641 1042.1608 244.57266
1033.4507 208.08676 1020.31036 223.22263
1005.75183 186.5935 994.33496 203.06824
973.93585 166.83167 964.2119 184.35895
938.0178 149.00598 929.92664 167.3443
898.00665 133.32336 891.4718 152.27222
853.9067 119.993286 848.84393 139.38733
805.72003 109.22803 802.043 128.93188
753.44635 101.242676 751.07 121.145325
697.08496 96.254456 695.9273 116.26495
636.6399 94.48224 636.6119 114.526184
576.1808 96.08539 577.2846 116.09894
519.7798 100.92999 522.1063 120.8385
467.44382 108.795715 471.07452 128.50812
419.1742 119.46344 424.19318 138.8689
374.9725 132.71692 381.465 151.68024
334.8426 148.3418 342.89142 166.69873
298.79062 166.12695 308.47083 183.6784
266.82727 185.86353 278.1976 202.37036
238.96935 207.34497 252.05956 222.52411
215.24255 230.36438 230.03598 243.88907
195.6836 254.71075 212.09496 266.21848
180.34073 280.16306 198.19318 289.27625
169.27087 306.48212 188.27832 312.84433
162.53154 333.40408 182.29784 336.72894
160.16788 360.63965 180.21147 360.7619
162.19974 387.88232 182.00414 384.7925
168.61583 414.82428 187.69194 408.67105
179.37816 441.17313 197.31778 432.2327
194.43437 466.66125 210.93877 455.28735
213.73112 491.04678 228.6132 477.6198
237.22298 514.1069 250.39116 498.99527
264.8765 535.6302 276.3111 519.16785
296.6693 555.41003 306.40015 537.8866
332.5886 573.24036 340.67606 554.90045
372.62805 588.91315 379.14972 569.95984
416.78616 602.2177 421.8278 582.8181
465.06403 612.94037 468.71368 593.2315
517.46484 620.8651 519.80945 600.95874
573.99243 625.7733 575.11566 605.76086
